10:22:59.241 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.supervisions.SupervisionsBackstageApplicationTests], using SpringBootContextLoader
10:22:59.254 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.supervisions.SupervisionsBackstageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:22:59.255 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.supervisions.SupervisionsBackstageApplicationTests]: SupervisionsBackstageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:22:59.383 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.supervisions.SupervisionsBackstageApplication for test class com.supervisions.SupervisionsBackstageApplicationTests
10:22:59.391 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
10:22:59.408 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7c7a06ec, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@75d4a5c2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@557caf28, org.springframework.test.context.support.DirtiesContextTestExecutionListener@408d971b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6c6cb480, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3c46e67a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@c730b35, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@206a70ef, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@292b08d6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@22555ebf, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@36ebc363, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@45752059]
10:22:59.413 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.supervisions.SupervisionsBackstageApplicationTests], using SpringBootContextLoader
10:22:59.413 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.supervisions.SupervisionsBackstageApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
10:22:59.414 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.supervisions.SupervisionsBackstageApplicationTests]: SupervisionsBackstageApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
10:22:59.419 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.supervisions.SupervisionsBackstageApplication for test class com.supervisions.SupervisionsBackstageApplicationTests
10:22:59.424 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
